instance,Baseline,BaselineRR,GreedyMakespanInsertion,OrderToteHill,FullHillClimb,SimulatedAnnealing,GeneticAlgorithm,TabuSearch,IteratedLocalSearch,BeamSearch
2026-02-26_16-18-01,107.5,95.0,125.0,102.5,102.5,87.5,87.5,102.5,102.5,107.5
2026-02-27_12-25-49,137.5,147.5,157.5,137.5,137.5,130.0,127.5,137.5,137.5,150.0
2026-02-27_12-25-52,180.0,162.5,185.0,155.0,155.0,152.5,147.5,157.5,155.0,180.0
2026-02-27_12-25-57,100.0,77.5,107.5,85.0,85.0,72.5,72.5,82.5,85.0,82.5
2026-02-27_12-26-00,197.5,172.5,205.0,167.5,167.5,162.5,162.5,167.5,167.5,177.5
2026-02-27_12-26-03,132.5,120.0,152.5,115.0,115.0,110.0,112.5,115.0,115.0,127.5
2026-02-27_12-27-07,90.0,87.5,107.5,90.0,90.0,85.0,85.0,90.0,90.0,85.0
2026-02-27_12-27-09,125.0,117.5,120.0,100.0,100.0,95.0,95.0,95.0,100.0,115.0
2026-02-27_12-27-12,170.0,162.5,172.5,150.0,150.0,140.0,140.0,140.0,150.0,152.5
2026-02-27_12-27-18,150.0,155.0,147.5,145.0,145.0,132.5,132.5,137.5,145.0,142.5
2026-02-27_12-27-22,122.5,130.0,115.0,115.0,115.0,110.0,105.0,115.0,115.0,120.0
2026-02-27_12-27-24,140.0,135.0,150.0,130.0,130.0,125.0,125.0,130.0,130.0,142.5
2026-02-27_12-27-26,127.5,137.5,132.5,130.0,130.0,122.5,122.5,130.0,130.0,130.0
2026-02-27_12-27-28,207.5,165.0,205.0,167.5,167.5,162.5,157.5,167.5,167.5,187.5
2026-02-27_12-27-30,132.5,112.5,120.0,102.5,102.5,102.5,97.5,105.0,102.5,102.5
2026-02-27_12-27-31,187.5,167.5,162.5,165.0,165.0,155.0,152.5,160.0,165.0,167.5
2026-02-27_12-27-34,95.0,105.0,125.0,95.0,95.0,90.0,95.0,92.5,95.0,115.0
2026-02-27_12-27-37,165.0,197.5,177.5,162.5,162.5,155.0,150.0,155.0,162.5,177.5
