instance,Baseline_load,BaselineRR_load,GreedyMakespanInsertion_load,OrderToteHill_load,FullHillClimb_load,SimulatedAnnealing_load,GeneticAlgorithm_load,TabuSearch_load,IteratedLocalSearch_load,BeamSearch_load,Baseline_pick,BaselineRR_pick,GreedyMakespanInsertion_pick,OrderToteHill_pick,FullHillClimb_pick,SimulatedAnnealing_pick,GeneticAlgorithm_pick,TabuSearch_pick,IteratedLocalSearch_pick,BeamSearch_pick,Baseline_hop,BaselineRR_hop,GreedyMakespanInsertion_hop,OrderToteHill_hop,FullHillClimb_hop,SimulatedAnnealing_hop,GeneticAlgorithm_hop,TabuSearch_hop,IteratedLocalSearch_hop,BeamSearch_hop
2026-02-26_16-18-01,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,81,55,82,86,86,82,61,106,86,56
2026-02-27_12-25-49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,185,195,135,189,189,172,80,209,189,82
2026-02-27_12-25-52,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,175,117,315,219,219,207,200,143,219,285
2026-02-27_12-25-57,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,71,39,118,92,92,51,85,84,92,99
2026-02-27_12-26-00,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,241,113,228,324,324,296,241,148,324,156
2026-02-27_12-26-03,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,132,131,412,114,114,197,175,104,114,169
2026-02-27_12-27-07,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,67,56,115,93,93,91,77,81,93,66
2026-02-27_12-27-09,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,100,57,100,153,153,95,108,101,153,98
2026-02-27_12-27-12,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,154,149,206,216,216,265,72,226,216,188
2026-02-27_12-27-18,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,150,156,139,238,238,233,299,194,238,123
2026-02-27_12-27-22,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,99,86,160,85,85,158,57,89,85,122
2026-02-27_12-27-24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,137,120,95,129,129,181,156,141,129,101
2026-02-27_12-27-26,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,82,116,84,194,194,97,149,108,194,112
2026-02-27_12-27-28,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,289,119,298,389,389,291,143,245,389,105
2026-02-27_12-27-30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,173,83,192,86,86,87,56,94,86,107
2026-02-27_12-27-31,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,289,197,150,240,240,348,287,218,240,148
2026-02-27_12-27-34,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,63,48,64,110,110,71,110,80,110,56
2026-02-27_12-27-37,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,233,222,351,204,204,191,157,330,204,280
2026-03-02_16-45-02 (small sample 1),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31,29,37,39,39,31,16,39,52,44
2026-03-04_16-04-42 (small sample 2),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,40,23,40,42,42,31,21,42,42,40
