instance,Baseline,BaselineRR,GreedyMakespanInsertion,OrderToteHill,FullHillClimb,SimulatedAnnealing,GeneticAlgorithm,TabuSearch,IteratedLocalSearch,BeamSearch
2026-02-26_16-18-01,1,1,66,1113,1133,800,800,800,1133,286
2026-02-27_12-25-49,1,1,105,929,929,800,800,800,929,462
2026-02-27_12-25-52,1,1,66,913,945,800,800,800,945,286
2026-02-27_12-25-57,1,1,55,983,1009,800,800,800,1009,235
2026-02-27_12-26-00,1,1,105,966,966,800,800,800,966,462
2026-02-27_12-26-03,1,1,120,820,820,800,800,800,820,522
2026-02-27_12-27-07,1,1,66,1201,1235,800,800,800,1235,286
2026-02-27_12-27-09,1,1,66,1024,1044,800,800,800,1044,286
2026-02-27_12-27-12,1,1,78,1317,1353,800,800,800,1353,342
2026-02-27_12-27-18,1,1,66,1185,864,800,800,800,864,286
2026-02-27_12-27-22,1,1,55,841,901,800,800,800,901,235
2026-02-27_12-27-24,1,1,66,991,1013,800,800,800,1013,286
2026-02-27_12-27-26,1,1,78,1227,1246,800,800,800,1246,342
2026-02-27_12-27-28,1,1,120,1538,1557,800,800,800,1557,522
2026-02-27_12-27-30,1,1,66,1089,1111,800,800,800,1111,286
2026-02-27_12-27-31,1,1,120,1355,1400,800,800,800,1400,522
2026-02-27_12-27-34,1,1,78,930,940,800,800,800,940,342
2026-02-27_12-27-37,1,1,105,1066,1066,800,800,800,1066,462
