analysis_type,method,input_source,demand_factor,speed_factor,makespan,avg_last_order,total_orders
demand_scaling,Greedy,example_files/MSE433_M3_Example_input.csv,1.0,1.0,35.0,30.0,4
demand_scaling,Greedy,example_files/MSE433_M3_Example_input.csv,1.25,1.0,42.5,35.0,4
demand_scaling,Greedy,example_files/MSE433_M3_Example_input.csv,1.5,1.0,50.0,40.0,4
demand_scaling,Greedy,example_files/MSE433_M3_Example_input.csv,1.75,1.0,65.0,50.0,4
conveyor_speed,Greedy,example_files/MSE433_M3_Example_input.csv,1.0,0.8,43.75,35.625,4
conveyor_speed,Greedy,example_files/MSE433_M3_Example_input.csv,1.0,1.0,35.0,30.0,4
conveyor_speed,Greedy,example_files/MSE433_M3_Example_input.csv,1.0,1.2,30.0,26.25,4
algorithm_comparison,Baseline,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,65.0,65.0,5
algorithm_comparison,BaselineRR,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,65.0,65.0,5
algorithm_comparison,GreedyMakespanInsertion,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,70.0,70.0,5
algorithm_comparison,BeamSearch,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,70.0,70.0,5
algorithm_comparison,OrderToteHill,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,57.5,57.5,5
algorithm_comparison,FullHillClimb,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,57.5,57.5,5
algorithm_comparison,SimulatedAnnealing,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,55.0,55.0,5
algorithm_comparison,GeneticAlgorithm,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,50.0,50.0,5
algorithm_comparison,TabuSearch,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,57.5,57.5,5
algorithm_comparison,IteratedLocalSearch,data_generator/2026-03-04_16-04-42 (small sample 2)/generated,1.0,1.0,57.5,57.5,5
